country,year,luminosity,avg_luminosity,avg_luminosity/pixel_count,norm_viirs,norm_viirs/pixel
Cambodia,2016,96015.11382047171,32005.037940157235,0.006849032970368308,63204.45537952715,0.042507893371250285
Cambodia,2017,221953.8809845349,73984.62699484495,0.01583260580835933,105184.04443421484,0.05149146620924129
Cambodia,2018,206287.27495386713,68762.42498462237,0.014715061945020846,99961.84242399226,0.05037392234590282
Cote d'Ivoire,2012,485880.63200502616,161960.21066834204,0.03465925660920563,286785.8950044151,0.06790045065902914
Cote d'Ivoire,2013,317905.2619785354,105968.4206595118,0.022677092533741543,230794.10499558487,0.055918286583565055
Cote d'Ivoire,2014,380034.12257585156,126678.04085861721,0.027108922041729985,251503.7251946903,0.0603501160915535
Cote d'Ivoire,2015,902714.7008833254,300904.9002944418,0.06439322418287673,425730.5846305149,0.09763441823270023
Cote d'Ivoire,2016,295893.28982006357,98631.09660668788,0.021106915537043986,223456.78094276093,0.05434810958686749
Cote d'Ivoire,2017,1045868.4037271744,348622.80124239146,0.07460478767111145,473448.4855784645,0.10784598172093496
Cote d'Ivoire,2018,1205319.913115614,401773.30437187135,0.08597892036253743,526598.9887079444,0.11922011441236095
Congo,Congo,Congo,Congo,Congo,Congo,Congo
Congo,Congo,Congo,Congo,Congo,Congo,Congo
Congo,Congo,Congo,Congo,Congo,Congo,Congo
Congo,Congo,Congo,Congo,Congo,Congo,Congo
Congo,Congo,Congo,Congo,Congo,Congo,Congo
Congo,Congo,Congo,Congo,Congo,Congo,Congo
Congo,Congo,Congo,Congo,Congo,Congo,Congo
Dominican Republic,2012,150512.92097586693,50170.973658622315,0.010736517587821235,283271.24842894217,0.04510604081482837
Dominican Republic,2013,165286.43040221394,55095.476800737975,0.011790354313342294,288195.75157105783,0.046159877540349434
Dominican Republic,2014,244920.38327723212,81640.12775907737,0.017470872172453196,314740.40252939716,0.05184039539946033
Dominican Republic,2015,264505.67387212144,88168.5579573738,0.018867947025371205,321268.8327276937,0.053237470252378336
Dominican Republic,2016,154790.3300479321,51596.77668264404,0.011041637423611929,284697.0514529639,0.045411160650619065
Dominican Republic,2017,250682.57024890807,83560.85674963605,0.017881905466901275,316661.13151995593,0.052251428693908405
Dominican Republic,2018,359993.7076745745,119997.9025581915,0.0256793818689677,353098.1773285115,0.06004890509597484
Egypt,2012,125370.34016181793,41790.113387272635,0.008943025312453487,3422534.8661161168,0.04456425937884066
Egypt,2013,71740.14346511952,23913.38115503984,0.005117429833081066,3404658.1338838837,0.04073866389946824
Egypt,2014,92842.6500457146,30947.550015238197,0.006622732046211326,3411692.3027440817,0.0422439661125985
Egypt,2015,71724.02652682997,23908.008842276657,0.005116280165728352,3404652.7615711214,0.04073751423211552
Egypt,2016,69449.8422376017,23149.9474125339,0.004954056089144515,3403894.7001413773,0.040575290155531685
Egypt,2017,124655.56534772494,41551.85511590832,0.00889203837848739,3422296.6078447527,0.04451327244487457
Egypt,2018,102518.54387492404,34172.84795830801,0.007312941256169154,3414917.600687152,0.042934175322556334
