Country,Year,pixel_count,luminosity,avg_luminosity,avg_luminosity/pixel_count,normalizedviirs,normalizedviirs/pixel
Spain,2017,5592016,1095604.874,365201.6246,0.065307686,6564101.717,4.596671893
Spain,2018,5592016,1615622.586,538540.8619,0.096305315,6737440.955,4.633766245
Switzerland,2012,524628,560168.5536,186722.8512,0.355914765,1190363.034,9.080700432
Switzerland,2013,524628,593855.3501,197951.7834,0.377318373,1201591.966,9.083103408
Switzerland,2014,524628,555555.2713,185185.0904,0.35298362,1188825.273,9.080371353
Switzerland,2015,524628,599666.9051,199888.9684,0.381010866,1203529.151,9.083517962
Switzerland,2016,524628,569868.052,189956.0173,0.362077543,1193596.2,9.081392325
Switzerland,2017,524628,628686.7982,209562.2661,0.399449259,1213202.449,9.085588034
Switzerland,2018,524628,585602.7806,195200.9269,0.372074931,1198841.11,9.082514728
Turkey,2012,6834036,1769851.144,589950.3815,0.086325325,5212453.737,3.050725274
Turkey,2013,6834036,1767371.721,589123.9069,0.08620439,5211627.263,3.05054841
Turkey,2014,6834036,2543938.949,847979.6498,0.124081824,5470483.006,3.105943173
Turkey,2015,6834036,1444917.904,481639.3012,0.070476553,5104142.657,3.027546856
Turkey,2016,6834036,1345094.751,448364.9168,0.065607632,5070868.273,3.020426184
Turkey,2017,6834036,3905839.53,1301946.51,0.190509168,5924449.866,3.203091441
Turkey,2018,6834036,1600576.6,533525.5334,0.07806888,5156028.889,3.038650436
United Kingdom,2012,4628426,902944.0686,300981.3562,0.065028879,6660704.495,5.741272862
United Kingdom,2013,4628426,836974.1008,278991.3669,0.060277807,6638714.505,5.736567035
United Kingdom,2014,4628426,811082.8369,270360.9456,0.058413151,6630084.084,5.734720137
United Kingdom,2015,4628426,684888.7853,228296.2618,0.049324816,6588019.4,5.725718354
United Kingdom,2016,4628426,224087.4646,74695.82153,0.016138493,6434418.96,5.692848077
United Kingdom,2017,4628426,486957.8623,162319.2874,0.035070084,6522042.426,5.711599375
United Kingdom,2018,4628426,859406.749,286468.9163,0.061893377,6646192.055,5.73816722
United States,2012,316676333,1811509.308,603836.4361,0.001906794,71325099.63,0.910781337
United States,2013,316676333,1514514.525,504838.1751,0.001594177,71226101.37,0.889595849
United States,2014,316676333,912457.4975,304152.4992,0.000960452,71025415.69,0.846649397
United States,2015,316676333,1003796.939,334598.9796,0.001056596,71055862.17,0.853164901
United States,2016,316676333,1037676.939,345892.3129,0.001092258,71067155.51,0.855581658
United States,2017,316676333,1624660.08,541553.3599,0.001710116,71262816.55,0.897452846
United States,2018,316676333,777784.8455,259261.6152,0.000818696,70980524.81,0.837042811
