,country,time,"luminosity,pixel"
326,china,201310,"(30582316.572536666, 325707.8973911227)"
327,france,201310,"(0, 0)"
328,germany,201310,"(0, 0)"
329,india,201310,"(11384397.167814117, 173272.6251647096)"
330,italy,201310,"(0, 0)"
331,japan,201310,"(3314212.3799692784, 205161.95716870434)"
332,korea,201310,"(171609.15010342002, 195539.45157383336)"
333,mexico,201310,"(0, 0)"
334,russia,201310,"(69053887.73605111, 48133.23034538717)"
335,saudiarab,201310,"(0, 0)"
336,uk,201310,"(0, 0)"
337,usa,201310,"(0, 0)"
338,indonesia,201310,"(203748.959906267, 18594.272530911217)"
339,iran,201310,"(371758.60965995863, 16529.01881898843)"
340,spain,201310,"(0, 0)"
341,turkey,201310,"(0, 0)"
342,brazil,201311,"(0, 0)"
343,canada,201311,"(0, 0)"
344,china,201311,"(28108281.636556305, 484995.8677124892)"
345,france,201311,"(0, 0)"
346,germany,201311,"(0, 0)"
347,india,201311,"(13519400.406595927, 239526.3592675459)"
348,italy,201311,"(0, 0)"
349,japan,201311,"(3501138.939703582, 60228.151399549286)"
350,korea,201311,"(110452.88996832259, 102286.22949986272)"
351,mexico,201311,"(0, 0)"
352,russia,201311,"(71480880.35699105, 36504.4603476724)"
353,saudiarab,201311,"(0, 0)"
354,uk,201311,"(0, 0)"
355,usa,201311,"(0, 0)"
356,indonesia,201311,"(162956.45985891484, 30256.276104181852)"
357,iran,201311,"(282380.8402357865, 8637.511736477054)"
358,spain,201311,"(0, 0)"
359,turkey,201311,"(0, 0)"
360,brazil,201312,"(0, 0)"
361,canada,201312,"(0, 0)"
362,china,201312,"(28303813.820051268, 360213.62189803424)"
363,france,201312,"(0, 0)"
364,germany,201312,"(0, 0)"
365,india,201312,"(10481920.126482585, 128191.58154210339)"
366,italy,201312,"(0, 0)"
367,japan,201312,"(3894758.379723685, 159533.02567022556)"
368,korea,201312,"(210721.86003179848, 76361.67222273842)"
369,mexico,201312,"(0, 0)"
370,russia,201312,"(62183471.946966015, 33569.65440006382)"
371,saudiarab,201312,"(0, 0)"
372,uk,201312,"(0, 0)"
373,usa,201312,"(0, 0)"
374,indonesia,201312,"(66153.23993915506, 11821.455851589573)"
375,iran,201312,"(219221.86991797015, 5758.052791742916)"
376,spain,201312,"(0, 0)"
377,turkey,201312,"(0, 0)"
378,brazil,201401,"(0, 0)"
379,canada,201401,"(0, 0)"
380,china,201401,"(25389395.311069332, 184219.711929082)"
381,france,201401,"(0, 0)"
382,germany,201401,"(0, 0)"
383,india,201401,"(9787847.755959611, 186263.4303988654)"
384,italy,201401,"(0, 0)"
385,japan,201401,"(4227116.199670218, 110674.50856355381)"
386,korea,201401,"(156235.6002134774, 103456.410306663)"
387,mexico,201401,"(0, 0)"
388,russia,201401,"(91117020.85950619, 41041.42429421062)"
389,saudiarab,201401,"(0, 0)"
390,uk,201401,"(0, 0)"
391,usa,201401,"(0, 0)"
392,indonesia,201401,"(297986.3695316408, 22721.99656418783)"
393,iran,201401,"(216309.68981344067, 7103.655388113996)"
394,spain,201401,"(0, 0)"
395,turkey,201401,"(0, 0)"
396,brazil,201402,"(0, 0)"
397,canada,201402,"(0, 0)"
398,china,201402,"(24026181.17022778, 199811.15628132893)"
399,france,201402,"(0, 0)"
400,germany,201402,"(0, 0)"
401,india,201402,"(11412472.086465124, 179064.2011931661)"
402,italy,201402,"(0, 0)"
403,japan,201402,"(3963310.519550141, 408408.27113813884)"
404,korea,201402,"(106431.56999511644, 116916.98497165415)"
405,mexico,201402,"(0, 0)"
406,russia,201402,"(84473972.32788593, 60704.16606981134)"
407,saudiarab,201402,"(0, 0)"
408,uk,201402,"(0, 0)"
409,usa,201402,"(0, 0)"
410,indonesia,201402,"(346180.87958576716, 48992.26173555623)"
411,iran,201402,"(261031.0500281155, 7492.519042338666)"
412,spain,201402,"(0, 0)"
413,turkey,201402,"(0, 0)"
414,brazil,201403,"(0, 0)"
415,canada,201403,"(0, 0)"
416,china,201403,"(20373889.106712405, 120515.26543577077)"
417,france,201403,"(0, 0)"
418,germany,201403,"(0, 0)"
419,india,201403,"(12352756.196383689, 162623.54935948914)"
420,italy,201403,"(0, 0)"
421,japan,201403,"(3523446.629591394, 257057.8093791395)"
422,korea,201403,"(35828.53983878158, 23162.62781448981)"
