year,country,pixels,luminosity,lum/pix
1995,Ethiopia,2466685,42360,0.017172845336960334
1996,Ethiopia,2466685,39616,0.016060421172545337
1997,Ethiopia,2466685,73212,0.029680319943567988
1998,Ethiopia,2466685,83648,0.03391109930939702
1999,Ethiopia,2466685,90538,0.0367043217922029
2000,Ethiopia,2466685,93961,0.03809201418097568
2001,Ethiopia,2466685,101844,0.041287801239315115
2002,Ethiopia,2466685,113827,0.04614573810600056
2003,Ethiopia,2466685,100264,0.04064726545951348
2004,Ethiopia,2466685,124095,0.05030840986992664
2005,Ethiopia,2466685,124855,0.050616515688059076
2006,Ethiopia,2466685,149251,0.06050671245011017
2007,Ethiopia,2466685,159226,0.06455060131309835
2008,Ethiopia,2466685,88732,0.03597216507174609
2009,Ethiopia,2466685,74014,0.03000545266217616
2010,Ethiopia,2466685,129111,0.0523419082696007
2011,Ethiopia,2466685,115153,0.0466833016781632
2012,Ethiopia,2466685,122879,0.04981544056091475
2013,Ethiopia,2466685,121177,0.04912544568925501
1992,France,1992927,6490385,3.256709854400086
1993,France,1992927,6502775,3.2629268407723915
1994,France,1992927,14072084,7.061013273441526
1995,France,1992927,8245231,4.137246873568374
1996,France,1992927,8201273,4.115189868971618
1997,France,1992927,16351272,8.204651750917119
1998,France,1992927,16410026,8.234133011394798
1999,France,1992927,17209641,8.635359448690293
2000,France,1992927,17395008,8.728371887179009
2001,France,1992927,17975917,9.019857225076484
2002,France,1992927,17762247,8.912643062189433
2003,France,1992927,15943439,8.00001154081409
2004,France,1992927,15410078,7.73238457806031
2005,France,1992927,15582431,7.81886692287274
2006,France,1992927,16271049,8.164397893149122
2007,France,1992927,17430417,8.746139221356326
2008,France,1992927,9366300,4.6997707392192485
2009,France,1992927,9127400,4.579896805051063
2010,France,1992927,13327448,6.6873738977895325
2011,France,1992927,9902077,4.968609989226901
2012,France,1992927,10856321,5.447425319642917
2013,France,1992927,10534200,5.285793207678957
1992,Gambia,32490,3615,0.11126500461680518
1993,Gambia,32490,4398,0.1353647276084949
1994,Gambia,32490,8301,0.25549399815327795
1995,Gambia,32490,5132,0.1579562942443829
1996,Gambia,32490,5674,0.17463835026161895
1997,Gambia,32490,9837,0.3027700831024931
1998,Gambia,32490,11097,0.3415512465373961
1999,Gambia,32490,10981,0.33798091720529394
2000,Gambia,32490,9818,0.3021852877808556
2001,Gambia,32490,10963,0.3374269005847953
2002,Gambia,32490,11430,0.3518005540166205
2003,Gambia,32490,8594,0.26451215758694985
2004,Gambia,32490,9321,0.2868882733148661
2005,Gambia,32490,9594,0.2952908587257618
2006,Gambia,32490,12036,0.37045244690674056
2007,Gambia,32490,18635,0.5735610957217605
2008,Gambia,32490,10038,0.3089566020313943
2009,Gambia,32490,10812,0.3327793167128347
2010,Gambia,32490,15877,0.4886734379809172
2011,Gambia,32490,13845,0.4261311172668513
2012,Gambia,32490,13780,0.42413050169282857
2013,Gambia,32490,12642,0.3891043397968606
1992,Georgia,240097,107212,0.44653619162255254
1993,Georgia,240097,142722,0.5944347492888291
1994,Georgia,240097,128849,0.5366539357009875
1995,Georgia,240097,64800,0.2698909190868691
1996,Georgia,240097,53449,0.22261419343015532
1997,Georgia,240097,91704,0.38194563030775064
1998,Georgia,240097,137797,0.5739222064415632
1999,Georgia,240097,89801,0.37401966705123346
2000,Georgia,240097,120527,0.5019929445182572
2001,Georgia,240097,122237,0.5091150659941607
2002,Georgia,240097,156921,0.6535733474387435
2003,Georgia,240097,122911,0.5119222647513296
2004,Georgia,240097,153797,0.6405619395494321
2005,Georgia,240097,176324,0.7343865187819922
2006,Georgia,240097,201468,0.8391108593610083
2007,Georgia,240097,258119,1.0750613293793758
2008,Georgia,240097,162879,0.6783883180547862
2009,Georgia,240097,121717,0.506949274668155
2010,Georgia,240097,207690,0.8650253855733308
2011,Georgia,240097,213753,0.8902776794378938
2012,Georgia,240097,256638,1.0688929890835788
2013,Georgia,240097,236942,0.9868594776277921
