Year,country,pixels,luminosity,lum/pix,population,gdppercapitagrowth
2017,Turkmenistan,4672928.0,681779.7035974779,0.4884005337487489,5757669,4.737284874
2018,Turkmenistan,4672928.0,695715.1876244246,0.491382707672025,5850908,4.507616162
1992,Vietnam,1524831.0,174865.0,0.11467828238014575,70883481,6.428895609
1993,Vietnam,1524831.0,214150.0,0.14044179322167505,72300308,5.954892338
1994,Vietnam,1524831.0,448982.0,0.29444705675579785,73651218,6.84265731
1995,Vietnam,1524831.0,306196.0,0.20080651560730334,74910461,7.699107408
1996,Vietnam,1524831.0,288891.0,0.18945771695355093,76068743,7.675121125
1997,Vietnam,1524831.0,772595.0,0.5066758217795939,77133214,6.659539607
1998,Vietnam,1524831.0,877226.0,0.5752939178177778,78115710,4.434208905
1999,Vietnam,1524831.0,1014777.0,0.6655012916185465,79035871,3.5537791239999996
2000,Vietnam,1524831.0,1169441.0,0.7669315484797987,79910412,5.6186340779999995
2001,Vietnam,1524831.0,1321075.0,0.8663746998847741,80742499,5.098528794
2002,Vietnam,1524831.0,1491081.0,0.9778663996206792,81534407,5.288173400000002
2003,Vietnam,1524831.0,1399549.0,0.9178387637711982,82301656,5.902507608
2004,Vietnam,1524831.0,1524322.0,0.9996661925157608,83062821,6.550976322
2005,Vietnam,1524831.0,1418721.0,0.9304119604074156,83832661,6.559635355
2006,Vietnam,1524831.0,1654686.0,1.0851602571039018,84617540,5.985669403999999
2007,Vietnam,1524831.0,1750710.0,1.148133793187573,85419591,6.123607298
2008,Vietnam,1524831.0,948335.0,0.621927938243648,86243413,4.65245944
2009,Vietnam,1524831.0,901809.0,0.5914157044288842,87092252,4.370643753
2010,Vietnam,1524831.0,1654902.0,1.0853019121463297,87967651,5.364180765
2011,Vietnam,1524831.0,1290408.0,0.8462629629119555,88871561,5.1597357939999995
2012,Vietnam,4672928.0,1444772.543578854,0.7154378619448923,89802487,4.156333781
2013,Vietnam,4672928.0,1529692.456421146,0.7692031823910643,90753472,4.317191047
2014,Vietnam,4672928.0,1502302.7658966638,0.5125235466114844,91714595,4.872999042
2015,Vietnam,4672928.0,1532541.2573394037,0.5189945411234349,92677076,5.571390342000001
2016,Vietnam,4672928.0,1517376.2366638996,0.5157492480918486,93638724,5.12005124
2017,Vietnam,4672928.0,1562673.4085332118,0.525442778972126,94596642,5.730628273
2018,Vietnam,4672928.0,1487641.3142907284,0.5093860166504117,95540395,6.018088398
