Year,country,pixels,luminosity,lum/pix,population,gdppercapitagrowth
1995,Bosnia and Herzegovina,143993.0,97706.0,0.6785468738063656,3829050,24.19061984
1996,Bosnia and Herzegovina,143993.0,153972.0,1.069301979957359,3764425,92.20155909999998
1997,Bosnia and Herzegovina,143993.0,358171.0,2.4874195273381345,3736070,35.40952697
1998,Bosnia and Herzegovina,143993.0,489431.0,3.3989916176480803,3734337,15.6536435
1999,Bosnia and Herzegovina,143993.0,492308.0,3.418971755571452,3743354,9.335994956
2000,Bosnia and Herzegovina,143993.0,572675.0,3.977103053620662,3751176,5.28001056
2001,Bosnia and Herzegovina,143993.0,583660.0,4.053391484308265,3755512,4.279462215
2002,Bosnia and Herzegovina,143993.0,571025.0,3.965644163257936,3759387,5.191462326
2003,Bosnia and Herzegovina,143993.0,521615.0,3.6225024827595775,3762173,3.922984646
2004,Bosnia and Herzegovina,143993.0,455539.0,3.1636190648156512,3764194,6.043001607000001
2005,Bosnia and Herzegovina,143993.0,581268.0,4.036779565673331,3765331,8.726415305
2006,Bosnia and Herzegovina,143993.0,477215.0,3.31415416027168,3765424,5.414666552999999
2007,Bosnia and Herzegovina,143993.0,519962.0,3.6110227580507375,3762786,5.929797917999999
2008,Bosnia and Herzegovina,143993.0,335047.0,2.3268283874910587,3754271,5.665843092
2009,Bosnia and Herzegovina,143993.0,268644.0,1.8656740258207,3735938,-2.526767726
2010,Bosnia and Herzegovina,143993.0,414175.0,2.876355100595168,3705472,1.5957480569999998
2011,Bosnia and Herzegovina,143993.0,385636.0,2.6781579660122365,3661175,2.129142525
2012,Bosnia and Herzegovina,4672928.0,418327.0924015704,1.5246896547673452,3604972,0.848519657
2013,Bosnia and Herzegovina,4672928.0,375674.9075984296,1.2882164748414495,3542605,4.15290947
2014,Bosnia and Herzegovina,4672928.0,383224.0148940664,0.05287246035673853,3482104,2.905462898
2015,Bosnia and Herzegovina,4672928.0,397753.18062985287,0.05598168132821218,3429361,4.673706877
2016,Bosnia and Herzegovina,4672928.0,394183.44603711757,0.05521776316111539,3386267,4.458295013
2017,Bosnia and Herzegovina,4672928.0,458528.3693204196,0.06898748597372924,3351527,3.176962825
2018,Bosnia and Herzegovina,4672928.0,464999.71965129155,0.07037234581553975,3323929,4.577388603999999
1992,Cambodia,310803.0,6002.0,0.019311267909254408,9623889,
1993,Cambodia,310803.0,9076.0,0.029201777331621638,9970733,
1994,Cambodia,310803.0,17775.0,0.057190567658613335,10317899,-37.00213031
1995,Cambodia,310803.0,11859.0,0.03815600235518962,10656138,6.414996866
1996,Cambodia,310803.0,9890.0,0.03182079967053085,10982917,2.746695949
1997,Cambodia,310803.0,30360.0,0.09768245480255984,11298600,1.100675013
1998,Cambodia,310803.0,25798.0,0.08300434680488927,11600508,1.957249505
1999,Cambodia,310803.0,35691.0,0.11483479889190258,11886458,9.994051676
2000,Cambodia,310803.0,40336.0,0.12977995707892134,12155239,8.263891505
2001,Cambodia,310803.0,45289.0,0.14571609669147334,12405408,5.2798253410000004
2002,Cambodia,310803.0,40438.0,0.13010813923932524,12637727,4.619701687
2003,Cambodia,310803.0,39899.0,0.1283739217446421,12856163,6.662297758999999
2004,Cambodia,310803.0,43503.0,0.13996969141224505,13066469,8.564587989
2005,Cambodia,310803.0,41162.0,0.13243758908376047,13273354,11.48491556
2006,Cambodia,310803.0,46968.0,0.15111823244949374,13477709,9.091523383
2007,Cambodia,310803.0,51695.0,0.16632722335369993,13679962,8.583123209
2008,Cambodia,310803.0,31362.0,0.1009063619077036,13883834,5.124904661
2009,Cambodia,310803.0,20721.0,0.06666924064439532,14093604,-1.402999106
2010,Cambodia,310803.0,136063.0,0.4377789146179413,14312212,4.344574274
2011,Cambodia,310803.0,87789.0,0.28245866352641386,14541423,5.381872448999999
2012,Cambodia,4672928.0,77160.11446476492,0.11900654756969495,14780454,5.577863206
2013,Cambodia,4672928.0,95309.88553523508,0.205888561650134,15026332,5.599972823
2014,Cambodia,4672928.0,105953.69427214848,0.05165617018883047,15274503,5.401782611000002
2015,Cambodia,4672928.0,86959.85339317247,0.04759151503493637,15521436,5.333233003
2016,Cambodia,4672928.0,63204.45537952715,0.042507893371250285,15766293,5.368731942
2017,Cambodia,4672928.0,105184.04443421484,0.05149146620924129,16009414,5.206762396
2018,Cambodia,4672928.0,99961.84242399226,0.05037392234590282,16249798,5.879372905
1992,China,31160216.0,9467602.0,0.30383621217516593,1164970000,12.82494547
1993,China,31160216.0,10337858.0,0.3317646450204325,1178440000,12.566028
1994,China,31160216.0,22817106.0,0.7322512141764358,1191835000,11.78156869
1995,China,31160216.0,13661477.0,0.43842690307409937,1204855000,9.750279001000001
1996,China,31160216.0,13099616.0,0.4203955453967328,1217550000,8.782184883
1997,China,31160216.0,26193717.0,0.84061410228992,1230075000,8.118548119
1998,China,31160216.0,28875233.0,0.9266698600548854,1241935000,6.807806319
1999,China,31160216.0,27938493.0,0.8966078091371382,1252735000,6.739270027000001
2000,China,31160216.0,30806441.0,0.9886465806270406,1262645000,7.640001655
2001,China,31160216.0,31976358.0,1.0261917953328694,1271850000,7.555801672
2002,China,31160216.0,35362179.0,1.1348502526426647,1280400000,8.401915061
2003,China,31160216.0,32160536.0,1.0321024732306092,1288400000,9.352364262
2004,China,31160216.0,38301513.0,1.2291799581877096,1296075000,9.45917505
2005,China,31160216.0,36778368.0,1.180298878544359,1303720000,10.74255231
2006,China,31160216.0,40776104.0,1.3085950366967931,1311020000,12.09183627
2007,China,31160216.0,44877737.0,1.4402254785396866,1317885000,13.63634486
2008,China,31160216.0,25220002.0,0.8093654421394255,1324655000,9.093872102
2009,China,31160216.0,23721125.0,0.7612631760960835,1331260000,8.857029819
2010,China,31160216.0,36545168.0,1.172814976635592,1337705000,10.10310072
2011,China,31160216.0,32718703.0,1.050015282307414,1344130000,9.027255945
2012,China,4672928.0,34788177.63118781,1.303403885949483,1350695000,7.33538001
2013,China,4672928.0,36299497.36881219,1.3581256170380247,1357380000,7.237862515
2014,China,4672928.0,35537783.54478595,1.5195538908787694,1364270000,6.881995441
2015,China,4672928.0,35442422.68248353,1.4991468008695894,1371220000,6.499316782999999
2016,China,4672928.0,35454314.68113178,1.5016916718045257,1378665000,6.271729091
2017,China,4672928.0,36238873.69631489,1.6695861942930168,1386395000,6.349909622
2018,China,4672928.0,35670185.1736516,1.5478876526798595,1392730000,6.2660418270000005
1992,Cote d'Ivoire,539418.0,55869.0,0.10357273950813654,12812421,-3.748296893
1993,Cote d'Ivoire,539418.0,77593.0,0.14384577451994554,13271643,-3.645999228
1994,Cote d'Ivoire,539418.0,124508.0,0.2308191421124249,13735433,-2.5927798909999997
1995,Cote d'Ivoire,539418.0,108436.0,0.20102406667927286,14199762,3.622757144
1996,Cote d'Ivoire,539418.0,122422.0,0.2269520112417457,14665127,4.310778203
1997,Cote d'Ivoire,539418.0,270103.0,0.5007304168566863,15130663,0.551600567
1998,Cote d'Ivoire,539418.0,347494.0,0.6442017136988384,15589414,1.842875672
1999,Cote d'Ivoire,539418.0,343225.0,0.6362876285181436,16032573,-1.1912994270000001
2000,Cote d'Ivoire,539418.0,365598.0,0.6777638121086059,16454668,-4.580540605
2001,Cote d'Ivoire,539418.0,382091.0,0.7083393583454759,16853026,-2.24521492
2002,Cote d'Ivoire,539418.0,403210.0,0.7474908141737947,17231539,-3.827639325
