country,year,pixels,luminosity,lum/pix,lum_growth,population,gdpgrowth
Indonesia,2008.0,10441980.0,2067898.0,0.1980369623385603,-0.4449600260248213,235469762,6.0137035999999995
Indonesia,2009.0,10441980.0,2057209.0,0.1970133059055849,-0.005169017040492326,238620563,4.628871183
Indonesia,2010.0,10441980.0,3004668.0,0.2877488752133216,0.4605555390823198,241834215,6.223854181
Indonesia,2011.0,10441980.0,2798443.0,0.2679992683379972,-0.0686348708076899,245116206,6.169784207999999
Indonesia,2012.0,27304773.0,3089489.9383811774,0.28597436122342035,0.10400316832652208,248452413,6.030050652999999
Indonesia,2013.0,27304773.0,2999421.0616188226,0.29714407033840984,-0.029153316100310325,251806402,5.557263689
Indonesia,2014.0,27304773.0,3026177.72281148,0.28764779724664274,0.008920608558445123,255129004,5.006668426
Indonesia,2015.0,27304773.0,3071872.588131585,0.297426433964372,0.015099861774691853,258383256,4.8763223
Indonesia,2016.0,27304773.0,3038394.0466787308,0.29026207332092635,-0.010898414726639808,261554226,5.033069183
Indonesia,2017.0,27304773.0,3103834.03485365,0.3042661384755617,0.02153768970369446,264645886,5.069785901
Indonesia,2018.0,27304773.0,3098142.721247413,0.3030482053924419,-0.0018336397959193558,267663435,5.169705609
Kenya,1992.0,1170411.0,59966.0,0.05123499351937055,-0.9806445327425536,25326078,-0.79949396
Kenya,1993.0,1170411.0,70588.0,0.060310437957264575,0.17713370910182435,26136216,0.353197256
Kenya,1994.0,1170411.0,121574.0,0.1038729130194436,0.7223040743469145,26950513,2.632784519
Kenya,1995.0,1170411.0,92127.0,0.07871337504517642,-0.24221461825719315,27768296,4.406216526000001
Kenya,1996.0,1170411.0,92282.0,0.07884580715663131,0.0016824600822777256,28589451,4.146839267
Kenya,1997.0,1170411.0,176234.0,0.15057445632346245,0.9097332090765264,29415659,0.47490192
Kenya,1998.0,1170411.0,195728.0,0.16723014394088914,0.11061429690071156,30250488,3.290213723
Kenya,1999.0,1170411.0,190236.0,0.1625377751917916,-0.02805934766614894,31098757,2.305388596
