../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Muzaffarpur,6652
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Nalanda,4520
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Nawada,1428
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Pashchim Champaran,2433
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Patna,20733
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Purba Champaran,3441
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Purnia,6265
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Rohtas,7026
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Saharsa,1775
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Samastipur,4699
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Saran,5276
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Sheikhpura,926
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Sheohar,198
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Sitamarhi,2140
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Siwan,2190
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Supaul,2194
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Vaishali,6212
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Chandigarh,10991
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Bastar,4195
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Bilaspur,10153
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Dantewada,4219
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Dhamtari,10427
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Durg,50573
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Janjgir-Champa,14892
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Jashpur,1835
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Kanker,2270
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Kawardha,1918
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Korba,19875
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Koriya,7227
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Mahasamund,6250
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Raigarh,80396
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Raipur,49210
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Raj Nandgaon,10065
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Surguja,9357
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Dadra and Nagar Haveli,7011
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Daman,1578
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Junagadh,88460
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Delhi,105742
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,North Goa,24413
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,South Goa,19337
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Ahmadabad,87308
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Amreli,59521
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Anand,32441
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Banas Kantha,62690
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Bharuch,83008
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Bhavnagar,77073
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Dahod,26442
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Gandhinagar,37625
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Jamnagar,93078
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Junagadh,88460
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Kachchh,91238
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Kheda,38550
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Mahesana,57423
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Narmada,10738
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Navsari,22607
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Panch Mahals,27337
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Patan,35874
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Porbandar,23448
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Rajkot,118839
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Sabar Kantha,56806
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Surat,93997
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Surendranagar,82573
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,The Dangs,3131
